Traces,Baseline IPC,LRU IPC,SHiP++ IPC,LIME IPC,SHiP IPC,SRRIP IPC,DRRIP IPC,,FNL-MMA+SRRIP IPC,FNL-MMA+DRRIP IPC,FNL-MMA+LIME IPC,PIPS+SRRIP IPC,PIPS+DRRIP IPC,PIPS+LIME IPC
server_035.champsimtrace.xz,1.31124,1.31124,1.29756,1.31125,1.74274,1.31098,1.31081,,1.39408,1.39424,1.32064,1.38999,1.38942,1.32165
server_036.champsimtrace.xz,1.91047,1.91047,1.86758,1.91459,1.77967,1.92919,1.92812,,2.07044,2.07984,1.91429,2.07361,2.07292,1.91868
server_037.champsimtrace.xz,1.93509,1.93509,1.90256,1.9364,0.423528,1.93931,1.93903,,2.0424,2.04157,1.93637,2.04611,2.04498,1.94447
server_038.champsimtrace.xz,1.95588,1.95588,1.93117,1.95719,0.424115,1.96068,1.9603,,2.06092,2.05951,1.95736,2.05068,2.05046,1.95868
server_039.champsimtrace.xz,1.88168,1.88168,1.82927,1.8817,0.43487,1.89025,1.89271,,2.0181,2.01567,1.87992,2.01409,2.01361,1.88391
spec_gcc_001.champsimtrace.xz,1.53838,1.53838,1.429,1.53793,0.435522,1.53971,1.53966,,1.60244,1.6028,1.59038,1.61863,1.6188,1.60178
spec_gcc_002.champsimtrace.xz,0.223979,0.223979,0.222698,0.224075,0.415029,0.224247,0.22428,,0.240609,0.241198,0.240125,0.239857,0.241803,0.239647
spec_gcc_003.champsimtrace.xz,0.257821,0.257821,0.256852,0.257828,0.41573,0.258181,0.258175,,0.265598,0.265311,0.263911,0.27127,0.271153,0.26608
spec_gobmk_001.champsimtrace.xz,1.2949,1.2949,1.19186,1.29449,0.438715,1.29676,1.29671,,1.3155,1.31527,1.29726,1.32536,1.32506,1.29846
spec_gobmk_002.champsimtrace.xz,1.29213,1.29213,1.14433,1.29158,0.439056,1.29506,1.29505,,1.321,1.32088,1.29385,1.33792,1.33794,1.29867
spec_perlbench_001.champsimtrace.xz,1.63761,1.63761,1.56169,1.63724,0.443976,1.63913,1.6391,,1.66834,1.66808,1.6499,1.68276,1.68297,1.65551
spec_x264_001.champsimtrace.xz,2.62485,2.62485,2.60773,2.62559,0.444067,2.63554,2.63562,,2.67142,2.67162,2.62802,2.67267,2.67256,2.63011
,,,,,,,,,,,,,,
Geomean,1.238954587,1.238954587,1.200274696,1.239258304,1.120654614,1.240115765,1.240032456,,1.315764802,1.315490446,1.267946324,1.307553776,1.307759998,1.264718754
Speed Up,1,1,0.968780219,1.000245139,0.904516296,1.000937223,1.000869982,,1.061995989,1.061774547,1.023400161,1.055368606,1.055535055,1.020795086
