Traces,Baseline IPC,Barca_SRRIP_ConfV7 IPC
client_001.champsimtrace.xz,1.53075,1.55341
client_002.champsimtrace.xz,1.7595,1.80118
client_003.champsimtrace.xz,1.14885,1.1645
client_004.champsimtrace.xz,1.39365,1.40215
client_005.champsimtrace.xz,1.33715,1.37655
client_006.champsimtrace.xz,1.31223,1.33441
client_007.champsimtrace.xz,1.54623,1.58558
client_008.champsimtrace.xz,1.48557,1.5229
server_001.champsimtrace.xz,1.40699,1.44494
server_002.champsimtrace.xz,1.60118,1.59855
server_003.champsimtrace.xz,1.25477,1.26631
server_004.champsimtrace.xz,1.14165,1.15655
server_009.champsimtrace.xz,1.25892,1.29161
server_010.champsimtrace.xz,1.39716,1.4512
server_011.champsimtrace.xz,1.44791,1.50534
server_012.champsimtrace.xz,1.59342,1.6976
server_013.champsimtrace.xz,1.57398,1.63344
server_014.champsimtrace.xz,1.59178,1.58981
server_015.champsimtrace.xz,1.72235,1.72647
server_016.champsimtrace.xz,1.7835,1.84478
server_017.champsimtrace.xz,0.423376,0.422447
server_018.champsimtrace.xz,0.435203,0.433095
server_019.champsimtrace.xz,0.41516,0.412999
server_020.champsimtrace.xz,0.438576,0.435026
server_021.champsimtrace.xz,0.443911,0.440315
server_022.champsimtrace.xz,0.445293,0.441144
server_023.champsimtrace.xz,1.62852,1.69126
server_024.champsimtrace.xz,1.59218,1.6715
server_025.champsimtrace.xz,1.62279,1.69552
server_026.champsimtrace.xz,1.59525,1.66432
server_027.champsimtrace.xz,1.58408,1.65932
server_028.champsimtrace.xz,1.58169,1.625
server_029.champsimtrace.xz,1.55288,1.62155
server_030.champsimtrace.xz,1.67697,1.71789
server_031.champsimtrace.xz,1.53193,1.59598
server_032.champsimtrace.xz,1.69641,1.76555
server_033.champsimtrace.xz,1.69641,1.78358
server_034.champsimtrace.xz,1.75818,1.86543
server_035.champsimtrace.xz,1.31124,1.35484
server_036.champsimtrace.xz,1.91047,1.98057
server_037.champsimtrace.xz,1.93509,1.9851
server_038.champsimtrace.xz,1.95588,2.00174
server_039.champsimtrace.xz,1.88168,1.95853
spec_gcc_001.champsimtrace.xz,1.53838,1.55669
spec_gcc_002.champsimtrace.xz,0.223979,0.227155
spec_gcc_003.champsimtrace.xz,0.257821,0.265483
spec_gobmk_001.champsimtrace.xz,1.2949,1.31966
spec_gobmk_002.champsimtrace.xz,1.29213,1.32307
spec_perlbench_001.champsimtrace.xz,1.63761,1.66768
spec_x264_001.champsimtrace.xz,2.62485,2.66893
