Traces,Baseline IPC,Barca_SRRIP_ConfV9 IPC
client_001.champsimtrace.xz,1.53075,1.55577
client_002.champsimtrace.xz,1.7595,1.80279
client_003.champsimtrace.xz,1.14885,1.16771
client_004.champsimtrace.xz,1.39365,1.40262
client_005.champsimtrace.xz,1.33715,1.37917
client_006.champsimtrace.xz,1.31223,1.3358
client_007.champsimtrace.xz,1.54623,1.58891
client_008.champsimtrace.xz,1.48557,1.52858
server_001.champsimtrace.xz,1.40699,1.44392
server_002.champsimtrace.xz,1.60118,1.59827
server_003.champsimtrace.xz,1.25477,1.25289
server_004.champsimtrace.xz,1.14165,1.14913
server_009.champsimtrace.xz,1.25892,1.29148
server_010.champsimtrace.xz,1.39716,1.43758
server_011.champsimtrace.xz,1.44791,1.50029
server_012.champsimtrace.xz,1.59342,1.67507
server_013.champsimtrace.xz,1.57398,1.63466
server_014.champsimtrace.xz,1.59178,1.59947
server_015.champsimtrace.xz,1.72235,1.73053
server_016.champsimtrace.xz,1.7835,1.85244
server_017.champsimtrace.xz,0.423376,0.423255
server_018.champsimtrace.xz,0.435203,0.434072
server_019.champsimtrace.xz,0.41516,0.415463
server_020.champsimtrace.xz,0.438576,0.434279
server_021.champsimtrace.xz,0.443911,0.444016
server_022.champsimtrace.xz,0.445293,0.442383
server_023.champsimtrace.xz,1.62852,1.69484
server_024.champsimtrace.xz,1.59218,1.67058
server_025.champsimtrace.xz,1.62279,1.6965
server_026.champsimtrace.xz,1.59525,1.65961
server_027.champsimtrace.xz,1.58408,1.65832
server_028.champsimtrace.xz,1.58169,1.6379
server_029.champsimtrace.xz,1.55288,1.6361
server_030.champsimtrace.xz,1.67697,1.71822
server_031.champsimtrace.xz,1.53193,1.59264
server_032.champsimtrace.xz,1.69641,1.77864
server_033.champsimtrace.xz,1.69641,1.80137
server_034.champsimtrace.xz,1.75818,1.88761
server_035.champsimtrace.xz,1.31124,1.35962
server_036.champsimtrace.xz,1.91047,2.02891
server_037.champsimtrace.xz,1.93509,1.99366
server_038.champsimtrace.xz,1.95588,2.01901
server_039.champsimtrace.xz,1.88168,1.96478
spec_gcc_001.champsimtrace.xz,1.53838,1.5538
spec_gcc_002.champsimtrace.xz,0.223979,0.226614
spec_gcc_003.champsimtrace.xz,0.257821,0.266871
spec_gobmk_001.champsimtrace.xz,1.2949,1.321
spec_gobmk_002.champsimtrace.xz,1.29213,1.32525
spec_perlbench_001.champsimtrace.xz,1.63761,1.6692
spec_x264_001.champsimtrace.xz,2.62485,2.66986
