Traces,Baseline IPC,Barca_SRRIP_ConfV3 IPC
client_001.champsimtrace.xz,1.53075,1.55717
client_002.champsimtrace.xz,1.7595,1.8036
client_003.champsimtrace.xz,1.14885,1.16623
client_004.champsimtrace.xz,1.39365,1.39864
client_005.champsimtrace.xz,1.33715,1.37961
client_006.champsimtrace.xz,1.31223,1.3347
client_007.champsimtrace.xz,1.54623,1.59471
client_008.champsimtrace.xz,1.48557,1.53054
server_001.champsimtrace.xz,1.40699,1.44066
server_002.champsimtrace.xz,1.60118,1.59923
server_003.champsimtrace.xz,1.25477,1.24494
server_004.champsimtrace.xz,1.14165,1.15059
server_009.champsimtrace.xz,1.25892,1.28526
server_010.champsimtrace.xz,1.39716,1.43945
server_011.champsimtrace.xz,1.44791,1.48717
server_012.champsimtrace.xz,1.59342,1.68799
server_013.champsimtrace.xz,1.57398,1.6317
server_014.champsimtrace.xz,1.59178,1.59573
server_015.champsimtrace.xz,1.72235,1.73166
server_016.champsimtrace.xz,1.7835,1.85111
server_017.champsimtrace.xz,0.423376,0.423613
server_018.champsimtrace.xz,0.435203,0.434618
server_019.champsimtrace.xz,0.41516,0.415769
server_020.champsimtrace.xz,0.438576,0.437034
server_021.champsimtrace.xz,0.443911,0.441205
server_022.champsimtrace.xz,0.445293,0.444065
server_023.champsimtrace.xz,1.62852,1.6883
server_024.champsimtrace.xz,1.59218,1.67267
server_025.champsimtrace.xz,1.62279,1.69618
server_026.champsimtrace.xz,1.59525,1.65985
server_027.champsimtrace.xz,1.58408,1.66038
server_028.champsimtrace.xz,1.58169,1.62304
server_029.champsimtrace.xz,1.55288,1.62845
server_030.champsimtrace.xz,1.67697,1.71134
server_031.champsimtrace.xz,1.53193,1.59733
server_032.champsimtrace.xz,1.69641,1.77321
server_033.champsimtrace.xz,1.69641,1.80977
server_034.champsimtrace.xz,1.75818,1.88872
server_035.champsimtrace.xz,1.31124,1.3627
server_036.champsimtrace.xz,1.91047,1.98988
server_037.champsimtrace.xz,1.93509,1.99733
server_038.champsimtrace.xz,1.95588,2.01551
server_039.champsimtrace.xz,1.88168,1.9797
spec_gcc_001.champsimtrace.xz,1.53838,1.5509
spec_gcc_002.champsimtrace.xz,0.223979,0.226373
spec_gcc_003.champsimtrace.xz,0.257821,0.265696
spec_gobmk_001.champsimtrace.xz,1.2949,1.321
spec_gobmk_002.champsimtrace.xz,1.29213,1.32587
spec_perlbench_001.champsimtrace.xz,1.63761,1.66899
spec_x264_001.champsimtrace.xz,2.62485,2.67064
