Traces,Baseline IPC,Barca_SRRIP_ConfV1 IPC
client_001.champsimtrace.xz,1.53075,1.55258
client_002.champsimtrace.xz,1.7595,1.80196
client_003.champsimtrace.xz,1.14885,1.16451
client_004.champsimtrace.xz,1.39365,1.39824
client_005.champsimtrace.xz,1.33715,1.37931
client_006.champsimtrace.xz,1.31223,1.33475
client_007.champsimtrace.xz,1.54623,1.58896
client_008.champsimtrace.xz,1.48557,1.52751
server_001.champsimtrace.xz,1.40699,1.44409
server_002.champsimtrace.xz,1.60118,1.59371
server_003.champsimtrace.xz,1.25477,1.24515
server_004.champsimtrace.xz,1.14165,1.15648
server_009.champsimtrace.xz,1.25892,1.28716
server_010.champsimtrace.xz,1.39716,1.44633
server_011.champsimtrace.xz,1.44791,1.49087
server_012.champsimtrace.xz,1.59342,1.69924
server_013.champsimtrace.xz,1.57398,1.63131
server_014.champsimtrace.xz,1.59178,1.59244
server_015.champsimtrace.xz,1.72235,1.72943
server_016.champsimtrace.xz,1.7835,1.83924
server_017.champsimtrace.xz,0.423376,0.423625
server_018.champsimtrace.xz,0.435203,0.432575
server_019.champsimtrace.xz,0.41516,0.413747
server_020.champsimtrace.xz,0.438576,0.433878
server_021.champsimtrace.xz,0.443911,0.441133
server_022.champsimtrace.xz,0.445293,0.441968
server_023.champsimtrace.xz,1.62852,1.68106
server_024.champsimtrace.xz,1.59218,1.66534
server_025.champsimtrace.xz,1.62279,1.68587
server_026.champsimtrace.xz,1.59525,1.65312
server_027.champsimtrace.xz,1.58408,1.64602
server_028.champsimtrace.xz,1.58169,1.62373
server_029.champsimtrace.xz,1.55288,1.6226
server_030.champsimtrace.xz,1.67697,1.70056
server_031.champsimtrace.xz,1.53193,1.5959
server_032.champsimtrace.xz,1.69641,1.76128
server_033.champsimtrace.xz,1.69641,1.78134
server_034.champsimtrace.xz,1.75818,1.86161
server_035.champsimtrace.xz,1.31124,1.3549
server_036.champsimtrace.xz,1.91047,1.99353
server_037.champsimtrace.xz,1.93509,1.98137
server_038.champsimtrace.xz,1.95588,2.00653
server_039.champsimtrace.xz,1.88168,1.97319
spec_gcc_001.champsimtrace.xz,1.53838,1.55539
spec_gcc_002.champsimtrace.xz,0.223979,0.227058
spec_gcc_003.champsimtrace.xz,0.257821,0.266422
spec_gobmk_001.champsimtrace.xz,1.2949,1.32119
spec_gobmk_002.champsimtrace.xz,1.29213,1.32463
spec_perlbench_001.champsimtrace.xz,1.63761,1.66819
spec_x264_001.champsimtrace.xz,2.62485,2.66921
