Traces,Baseline IPC,Barca_SRRIP_ConfV2 IPC
client_001.champsimtrace.xz,1.53075,1.55509
client_002.champsimtrace.xz,1.7595,1.80396
client_003.champsimtrace.xz,1.14885,1.16563
client_004.champsimtrace.xz,1.39365,1.40158
client_005.champsimtrace.xz,1.33715,1.3807
client_006.champsimtrace.xz,1.31223,1.33737
client_007.champsimtrace.xz,1.54623,1.5926
client_008.champsimtrace.xz,1.48557,1.52905
server_001.champsimtrace.xz,1.40699,1.44534
server_002.champsimtrace.xz,1.60118,1.59181
server_003.champsimtrace.xz,1.25477,1.25122
server_004.champsimtrace.xz,1.14165,1.15436
server_009.champsimtrace.xz,1.25892,1.2958
server_010.champsimtrace.xz,1.39716,1.43107
server_011.champsimtrace.xz,1.44791,1.49812
server_012.champsimtrace.xz,1.59342,1.70022
server_013.champsimtrace.xz,1.57398,1.61838
server_014.champsimtrace.xz,1.59178,1.60142
server_015.champsimtrace.xz,1.72235,1.73302
server_016.champsimtrace.xz,1.7835,1.84937
server_017.champsimtrace.xz,0.423376,0.423668
server_018.champsimtrace.xz,0.435203,0.435061
server_019.champsimtrace.xz,0.41516,0.41524
server_020.champsimtrace.xz,0.438576,0.437608
server_021.champsimtrace.xz,0.443911,0.441267
server_022.champsimtrace.xz,0.445293,0.44214
server_023.champsimtrace.xz,1.62852,1.69647
server_024.champsimtrace.xz,1.59218,1.66891
server_025.champsimtrace.xz,1.62279,1.69923
server_026.champsimtrace.xz,1.59525,1.66887
server_027.champsimtrace.xz,1.58408,1.65859
server_028.champsimtrace.xz,1.58169,1.63969
server_029.champsimtrace.xz,1.55288,1.62531
server_030.champsimtrace.xz,1.67697,1.71976
server_031.champsimtrace.xz,1.53193,1.59902
server_032.champsimtrace.xz,1.69641,1.77148
server_033.champsimtrace.xz,1.69641,1.80515
server_034.champsimtrace.xz,1.75818,1.88384
server_035.champsimtrace.xz,1.31124,1.36397
server_036.champsimtrace.xz,1.91047,1.99675
server_037.champsimtrace.xz,1.93509,1.99577
server_038.champsimtrace.xz,1.95588,2.02379
server_039.champsimtrace.xz,1.88168,1.97022
spec_gcc_001.champsimtrace.xz,1.53838,1.55444
spec_gcc_002.champsimtrace.xz,0.223979,0.227028
spec_gcc_003.champsimtrace.xz,0.257821,0.26571
spec_gobmk_001.champsimtrace.xz,1.2949,1.32074
spec_gobmk_002.champsimtrace.xz,1.29213,1.326
spec_perlbench_001.champsimtrace.xz,1.63761,1.66906
spec_x264_001.champsimtrace.xz,2.62485,2.66924
