Traces,Baseline IPC,Barca_SRRIP_ConfV5 IPC
client_001.champsimtrace.xz,1.53075,1.55549
client_002.champsimtrace.xz,1.7595,1.80376
client_003.champsimtrace.xz,1.14885,1.16464
client_004.champsimtrace.xz,1.39365,1.40092
client_005.champsimtrace.xz,1.33715,1.37962
client_006.champsimtrace.xz,1.31223,1.33712
client_007.champsimtrace.xz,1.54623,1.59409
client_008.champsimtrace.xz,1.48557,1.52994
server_001.champsimtrace.xz,1.40699,1.44274
server_002.champsimtrace.xz,1.60118,1.601
server_003.champsimtrace.xz,1.25477,1.25036
server_004.champsimtrace.xz,1.14165,1.15767
server_009.champsimtrace.xz,1.25892,1.29068
server_010.champsimtrace.xz,1.39716,1.45137
server_011.champsimtrace.xz,1.44791,1.49846
server_012.champsimtrace.xz,1.59342,1.70726
server_013.champsimtrace.xz,1.57398,1.61121
server_014.champsimtrace.xz,1.59178,1.59938
server_015.champsimtrace.xz,1.72235,1.73747
server_016.champsimtrace.xz,1.7835,1.85482
server_017.champsimtrace.xz,0.423376,0.421974
server_018.champsimtrace.xz,0.435203,0.433462
server_019.champsimtrace.xz,0.41516,0.414946
server_020.champsimtrace.xz,0.438576,0.436251
server_021.champsimtrace.xz,0.443911,0.442716
server_022.champsimtrace.xz,0.445293,0.44271
server_023.champsimtrace.xz,1.62852,1.69158
server_024.champsimtrace.xz,1.59218,1.6715
server_025.champsimtrace.xz,1.62279,1.69427
server_026.champsimtrace.xz,1.59525,1.67455
server_027.champsimtrace.xz,1.58408,1.65479
server_028.champsimtrace.xz,1.58169,1.64279
server_029.champsimtrace.xz,1.55288,1.63159
server_030.champsimtrace.xz,1.67697,1.72888
server_031.champsimtrace.xz,1.53193,1.59504
server_032.champsimtrace.xz,1.69641,1.77171
server_033.champsimtrace.xz,1.69641,1.79869
server_034.champsimtrace.xz,1.75818,1.88232
server_035.champsimtrace.xz,1.31124,1.36281
server_036.champsimtrace.xz,1.91047,1.98525
server_037.champsimtrace.xz,1.93509,2.00028
server_038.champsimtrace.xz,1.95588,2.01579
server_039.champsimtrace.xz,1.88168,1.96448
spec_gcc_001.champsimtrace.xz,1.53838,1.55447
spec_gcc_002.champsimtrace.xz,0.223979,0.22671
spec_gcc_003.champsimtrace.xz,0.257821,0.265062
spec_gobmk_001.champsimtrace.xz,1.2949,1.32108
spec_gobmk_002.champsimtrace.xz,1.29213,1.32498
spec_perlbench_001.champsimtrace.xz,1.63761,1.66858
spec_x264_001.champsimtrace.xz,2.62485,2.67041
